time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation_probability,precipitation,rain,showers,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,visibility,wind_speed_10m,wind_gusts_10m,city,retrieved_at
2026-06-01T00:00,15.7,71,10.5,15.2,0,0.0,0.0,0.0,0.0,0.0,0,1015.1,1002.0,6,37000.0,4.6,8.6,tirana,2026-06-01T03:43:13.311120
2026-06-01T01:00,15.4,70,10.0,14.7,0,0.0,0.0,0.0,0.0,0.0,0,1015.0,1001.9,0,37720.0,4.8,9.0,tirana,2026-06-01T03:43:13.311120
2026-06-01T02:00,14.9,73,10.2,14.4,0,0.0,0.0,0.0,0.0,0.0,0,1014.6,1001.5,0,36260.0,4.1,9.0,tirana,2026-06-01T03:43:13.311120
2026-06-01T03:00,14.8,72,9.8,14.0,0,0.0,0.0,0.0,0.0,0.0,0,1015.0,1001.9,1,37400.0,5.2,9.7,tirana,2026-06-01T03:43:13.311120
2026-06-01T04:00,15.2,72,10.2,14.6,0,0.0,0.0,0.0,0.0,0.0,0,1015.0,1001.9,15,37420.0,5.1,10.1,tirana,2026-06-01T03:43:13.311120
2026-06-01T05:00,18.3,68,12.3,18.6,0,0.0,0.0,0.0,0.0,0.0,1,1015.3,1002.3,33,38340.0,3.5,9.4,tirana,2026-06-01T03:43:13.311120
2026-06-01T06:00,23.1,50,12.1,23.4,0,0.0,0.0,0.0,0.0,0.0,1,1015.1,1002.3,75,41300.0,2.4,6.5,tirana,2026-06-01T03:43:13.311120
2026-06-01T07:00,25.6,41,11.4,25.4,0,0.0,0.0,0.0,0.0,0.0,2,1015.1,1002.4,60,42540.0,4.5,10.8,tirana,2026-06-01T03:43:13.311120
2026-06-01T08:00,27.5,33,9.8,27.5,0,0.0,0.0,0.0,0.0,0.0,3,1014.8,1002.2,84,44800.0,5.1,12.2,tirana,2026-06-01T03:43:13.311120
2026-06-01T09:00,29.0,30,9.7,29.7,0,0.0,0.0,0.0,0.0,0.0,3,1015.0,1002.5,100,46120.0,5.6,13.7,tirana,2026-06-01T03:43:13.311120
2026-06-01T10:00,30.2,27,9.2,30.9,0,0.0,0.0,0.0,0.0,0.0,3,1014.6,1002.1,97,47320.0,8.0,16.6,tirana,2026-06-01T03:43:13.311120
2026-06-01T11:00,31.0,26,9.3,30.8,0,0.0,0.0,0.0,0.0,0.0,3,1014.6,1002.2,40,47720.0,14.0,26.6,tirana,2026-06-01T03:43:13.311120
2026-06-01T12:00,30.0,26,8.5,28.9,0,0.0,0.0,0.0,0.0,0.0,0,1014.2,1001.7,10,47580.0,17.7,34.2,tirana,2026-06-01T03:43:13.311120
2026-06-01T13:00,29.5,29,9.6,28.6,0,0.0,0.0,0.0,0.0,0.0,0,1014.1,1001.6,15,45980.0,16.5,32.8,tirana,2026-06-01T03:43:13.311120
2026-06-01T14:00,29.2,30,9.8,28.1,0,0.0,0.0,0.0,0.0,0.0,1,1013.5,1001.0,34,46080.0,13.8,30.6,tirana,2026-06-01T03:43:13.311120
2026-06-01T15:00,28.6,31,9.9,27.0,0,0.0,0.0,0.0,0.0,0.0,1,1013.5,1001.0,0,45820.0,11.4,25.6,tirana,2026-06-01T03:43:13.311120
2026-06-01T16:00,27.7,34,10.5,26.7,0,0.0,0.0,0.0,0.0,0.0,1,1013.3,1000.7,1,44800.0,8.4,21.2,tirana,2026-06-01T03:43:13.311120
2026-06-01T17:00,26.3,37,10.5,25.6,0,0.0,0.0,0.0,0.0,0.0,1,1013.8,1001.2,0,43820.0,5.9,16.2,tirana,2026-06-01T03:43:13.311120
2026-06-01T18:00,24.5,45,11.8,24.8,0,0.0,0.0,0.0,0.0,0.0,0,1013.8,1001.1,0,42680.0,1.9,11.2,tirana,2026-06-01T03:43:13.311120
2026-06-01T19:00,22.5,51,11.9,22.9,0,0.0,0.0,0.0,0.0,0.0,0,1014.4,1001.6,0,41840.0,1.3,3.2,tirana,2026-06-01T03:43:13.311120
2026-06-01T20:00,19.6,59,11.4,19.3,0,0.0,0.0,0.0,0.0,0.0,0,1014.8,1001.9,0,40420.0,5.5,9.7,tirana,2026-06-01T03:43:13.311120
2026-06-01T21:00,18.8,55,9.6,17.8,0,0.0,0.0,0.0,0.0,0.0,0,1014.9,1001.9,14,41360.0,6.3,11.9,tirana,2026-06-01T03:43:13.311120
2026-06-01T22:00,18.5,56,9.6,17.5,0,0.0,0.0,0.0,0.0,0.0,3,1014.9,1001.9,98,41100.0,6.3,11.5,tirana,2026-06-01T03:43:13.311120
2026-06-01T23:00,18.4,56,9.5,17.5,0,0.0,0.0,0.0,0.0,0.0,3,1014.7,1001.7,93,40920.0,5.6,11.5,tirana,2026-06-01T03:43:13.311120
2026-06-01T00:00,20.6,82,17.4,23.0,0,0.0,0.0,0.0,0.0,0.0,0,1017.4,1003.8,1,31780.0,2.2,9.4,algiers,2026-06-01T03:43:15.868285
2026-06-01T01:00,20.3,83,17.3,22.6,0,0.0,0.0,0.0,0.0,0.0,0,1016.9,1003.3,8,30440.0,2.2,10.4,algiers,2026-06-01T03:43:15.868285
2026-06-01T02:00,20.0,87,17.7,22.4,0,0.0,0.0,0.0,0.0,0.0,0,1016.6,1003.0,21,26440.0,2.5,9.7,algiers,2026-06-01T03:43:15.868285
2026-06-01T03:00,19.9,87,17.6,22.2,0,0.0,0.0,0.0,0.0,0.0,1,1016.1,1002.5,9,27120.0,2.6,10.1,algiers,2026-06-01T03:43:15.868285
2026-06-01T04:00,20.2,79,16.4,22.1,0,0.0,0.0,0.0,0.0,0.0,2,1016.0,1002.4,32,32700.0,2.2,10.1,algiers,2026-06-01T03:43:15.868285
2026-06-01T05:00,20.6,67,14.2,21.6,0,0.0,0.0,0.0,0.0,0.0,2,1016.3,1002.7,49,37420.0,2.2,11.9,algiers,2026-06-01T03:43:15.868285
2026-06-01T06:00,21.4,60,13.3,22.2,0,0.0,0.0,0.0,0.0,0.0,0,1016.6,1003.0,20,38580.0,2.2,10.1,algiers,2026-06-01T03:43:15.868285
2026-06-01T07:00,23.1,55,13.6,24.1,0,0.0,0.0,0.0,0.0,0.0,0,1016.8,1003.3,3,39280.0,1.3,10.8,algiers,2026-06-01T03:43:15.868285
2026-06-01T08:00,24.8,43,11.4,25.0,0,0.0,0.0,0.0,0.0,0.0,1,1017.2,1003.8,30,41980.0,1.8,14.0,algiers,2026-06-01T03:43:15.868285
2026-06-01T09:00,26.2,39,11.2,27.0,0,0.0,0.0,0.0,0.0,0.0,1,1017.5,1004.1,33,42840.0,2.8,16.6,algiers,2026-06-01T03:43:15.868285
2026-06-01T10:00,27.3,42,13.2,29.4,0,0.0,0.0,0.0,0.0,0.0,1,1017.4,1004.1,11,42240.0,4.1,19.1,algiers,2026-06-01T03:43:15.868285
2026-06-01T11:00,27.9,39,12.6,30.3,0,0.0,0.0,0.0,0.0,0.0,1,1017.2,1003.9,0,42780.0,5.2,20.9,algiers,2026-06-01T03:43:15.868285
2026-06-01T12:00,28.2,39,12.9,30.8,0,0.0,0.0,0.0,0.0,0.0,0,1016.8,1003.5,6,42900.0,6.0,22.0,algiers,2026-06-01T03:43:15.868285
2026-06-01T13:00,28.1,41,13.6,30.7,0,0.0,0.0,0.0,0.0,0.0,0,1016.4,1003.1,10,42120.0,6.6,23.0,algiers,2026-06-01T03:43:15.868285
2026-06-01T14:00,27.6,44,14.2,29.9,0,0.0,0.0,0.0,0.0,0.0,0,1016.0,1002.7,0,41140.0,7.2,23.8,algiers,2026-06-01T03:43:15.868285
2026-06-01T15:00,27.0,46,14.4,28.7,0,0.0,0.0,0.0,0.0,0.0,0,1015.6,1002.3,0,40380.0,6.8,24.1,algiers,2026-06-01T03:43:15.868285
2026-06-01T16:00,26.3,48,14.4,27.0,0,0.0,0.0,0.0,0.0,0.0,0,1015.5,1002.2,0,41520.0,6.3,23.0,algiers,2026-06-01T03:43:15.868285
2026-06-01T17:00,25.7,48,13.8,26.4,0,0.0,0.0,0.0,0.0,0.0,0,1015.1,1001.7,0,41100.0,3.4,22.3,algiers,2026-06-01T03:43:15.868285
2026-06-01T18:00,25.0,51,14.2,26.2,0,0.0,0.0,0.0,0.0,0.0,0,1014.9,1001.5,0,42300.0,1.3,17.3,algiers,2026-06-01T03:43:15.868285
2026-06-01T19:00,24.1,56,14.8,25.6,0,0.0,0.0,0.0,0.0,0.0,0,1014.6,1001.2,0,39640.0,0.7,9.7,algiers,2026-06-01T03:43:15.868285
2026-06-01T20:00,23.9,50,12.8,24.4,0,0.0,0.0,0.0,0.0,0.0,0,1015.0,1001.6,1,40960.0,2.0,5.8,algiers,2026-06-01T03:43:15.868285
2026-06-01T21:00,24.0,44,11.0,24.0,0,0.0,0.0,0.0,0.0,0.0,0,1015.3,1001.9,1,42300.0,1.9,6.1,algiers,2026-06-01T03:43:15.868285
2026-06-01T22:00,23.7,45,11.0,23.5,0,0.0,0.0,0.0,0.0,0.0,0,1015.0,1001.6,11,42140.0,3.4,10.1,algiers,2026-06-01T03:43:15.868285
2026-06-01T23:00,23.1,53,13.0,23.5,0,0.0,0.0,0.0,0.0,0.0,0,1014.5,1001.0,0,40260.0,3.5,12.6,algiers,2026-06-01T03:43:15.868285
2026-06-01T00:00,23.1,92,21.7,27.3,0,0.0,0.0,0.0,0.0,0.0,0,1012.2,1003.5,0,13820.0,4.0,9.0,luanda,2026-06-01T03:43:18.457421
2026-06-01T01:00,22.8,94,21.7,27.0,0,0.0,0.0,0.0,0.0,0.0,0,1012.0,1003.3,1,13800.0,4.0,9.0,luanda,2026-06-01T03:43:18.457421
2026-06-01T02:00,22.6,94,21.7,27.1,0,0.0,0.0,0.0,0.0,0.0,0,1011.9,1003.2,0,13800.0,2.0,7.6,luanda,2026-06-01T03:43:18.457421
2026-06-01T03:00,22.4,95,21.6,26.8,0,0.0,0.0,0.0,0.0,0.0,0,1011.7,1003.0,1,13800.0,2.3,4.3,luanda,2026-06-01T03:43:18.457421
2026-06-01T04:00,22.3,96,21.6,26.4,0,0.0,0.0,0.0,0.0,0.0,0,1011.8,1003.1,8,1920.0,3.6,7.9,luanda,2026-06-01T03:43:18.457421
2026-06-01T05:00,21.7,99,21.5,25.9,0,0.0,0.0,0.0,0.0,0.0,1,1012.2,1003.4,35,800.0,3.4,7.6,luanda,2026-06-01T03:43:18.457421
2026-06-01T06:00,22.1,97,21.6,26.1,0,0.0,0.0,0.0,0.0,0.0,3,1012.6,1003.9,100,340.0,4.7,11.9,luanda,2026-06-01T03:43:18.457421
2026-06-01T07:00,23.0,90,21.4,27.0,0,0.0,0.0,0.0,0.0,0.0,0,1013.0,1004.3,19,13760.0,4.3,14.0,luanda,2026-06-01T03:43:18.457421
2026-06-01T08:00,25.0,78,21.0,29.2,0,0.0,0.0,0.0,0.0,0.0,0,1013.5,1004.8,8,19840.0,1.7,14.0,luanda,2026-06-01T03:43:18.457421
2026-06-01T09:00,26.7,70,20.8,30.7,0,0.0,0.0,0.0,0.0,0.0,0,1013.2,1004.6,3,19820.0,1.5,10.8,luanda,2026-06-01T03:43:18.457421
2026-06-01T10:00,27.3,69,21.2,31.8,0,0.0,0.0,0.0,0.0,0.0,0,1012.6,1004.0,3,8140.0,6.0,20.9,luanda,2026-06-01T03:43:18.457421
2026-06-01T11:00,26.8,74,21.8,31.0,0,0.0,0.0,0.0,0.0,0.0,1,1012.0,1003.4,26,500.0,12.3,32.8,luanda,2026-06-01T03:43:18.457421
2026-06-01T12:00,25.5,80,21.7,29.2,0,0.0,0.0,0.0,0.0,0.0,1,1011.3,1002.7,49,19380.0,14.9,38.5,luanda,2026-06-01T03:43:18.457421
2026-06-01T13:00,26.0,74,21.1,29.1,0,0.0,0.0,0.0,0.0,0.0,0,1010.5,1001.9,18,1160.0,13.7,38.5,luanda,2026-06-01T03:43:18.457421
2026-06-01T14:00,26.3,73,21.0,28.8,0,0.0,0.0,0.0,0.0,0.0,0,1009.8,1001.2,2,2440.0,12.6,36.4,luanda,2026-06-01T03:43:18.457421
2026-06-01T15:00,26.2,74,21.2,28.7,0,0.0,0.0,0.0,0.0,0.0,0,1009.5,1000.9,2,19760.0,13.2,34.2,luanda,2026-06-01T03:43:18.457421
2026-06-01T16:00,25.6,78,21.5,28.2,0,0.0,0.0,0.0,0.0,0.0,0,1009.7,1001.1,0,15560.0,14.2,35.3,luanda,2026-06-01T03:43:18.457421
2026-06-01T17:00,24.7,84,21.9,27.6,0,0.0,0.0,0.0,0.0,0.0,0,1010.0,1001.4,1,11980.0,13.9,35.3,luanda,2026-06-01T03:43:18.457421
2026-06-01T18:00,24.3,86,21.9,27.2,0,0.0,0.0,0.0,0.0,0.0,0,1010.2,1001.5,0,12080.0,13.1,33.8,luanda,2026-06-01T03:43:18.457421
2026-06-01T19:00,24.0,89,22.0,27.1,0,0.0,0.0,0.0,0.0,0.0,0,1010.7,1002.0,10,12460.0,12.5,31.3,luanda,2026-06-01T03:43:18.457421
2026-06-01T20:00,23.8,91,22.2,27.4,0,0.0,0.0,0.0,0.0,0.0,1,1011.9,1003.2,24,13680.0,9.8,29.5,luanda,2026-06-01T03:43:18.457421
2026-06-01T21:00,23.6,92,22.2,27.7,0,0.0,0.0,0.0,0.0,0.0,1,1012.9,1004.2,38,13460.0,6.7,24.1,luanda,2026-06-01T03:43:18.457421
2026-06-01T22:00,23.5,92,22.2,27.8,0,0.0,0.0,0.0,0.0,0.0,3,1013.5,1004.8,100,13420.0,5.1,16.2,luanda,2026-06-01T03:43:18.457421
2026-06-01T23:00,23.6,91,22.1,27.9,0,0.0,0.0,0.0,0.0,0.0,3,1013.5,1004.8,100,12640.0,4.5,13.0,luanda,2026-06-01T03:43:18.457421
2026-06-01T00:00,12.8,86,10.6,12.6,0,0.0,0.0,0.0,0.0,0.0,0,1022.2,1020.0,2,12120.0,2.5,3.2,buenos_aires,2026-06-01T03:45:21.690336
2026-06-01T01:00,12.6,85,10.2,12.3,0,0.0,0.0,0.0,0.0,0.0,0,1022.3,1020.1,15,15660.0,2.8,4.7,buenos_aires,2026-06-01T03:45:21.690336
